,train_loss,val_loss,train_acc,val_acc
307,0.0503,0.0697,97.5712,97.3734
308,0.0565,0.0692,97.4334,97.4017
309,0.046,0.0693,97.8183,97.3882
310,0.0753,0.0688,97.6393,97.4137
311,0.0569,0.0693,97.4955,97.4039
312,0.0445,0.0706,97.9018,97.397
313,0.0467,0.0692,97.6993,97.4189
314,0.0485,0.07,97.5043,97.4173
315,0.0433,0.0703,97.9758,97.4157
316,0.0496,0.071,97.7573,97.4025
317,0.0579,0.0717,97.4922,97.3958
318,0.0498,0.0722,98.0074,97.4071
319,0.0507,0.0725,97.8012,97.389
320,0.0626,0.0723,97.4649,97.378
321,0.05,0.0731,98.0612,97.3791
322,0.0354,0.0727,97.7951,97.3864
323,0.051,0.0725,97.517,97.4033
324,0.0474,0.0776,98.0186,97.2912
325,0.0574,0.0744,97.7756,97.3827
326,0.0444,0.0746,97.5271,97.3779
327,0.0388,0.0746,98.0915,97.3804
328,0.0485,0.0739,97.8427,97.3859
329,0.0479,0.0731,97.5035,97.3797
330,0.0868,0.074,97.0097,97.3111
331,0.0947,0.0739,97.1708,97.3019
332,0.0633,0.0712,97.4794,97.4165
333,0.0678,0.0708,97.4639,97.4132
334,0.0482,0.0727,97.6732,97.3952
335,0.0557,0.0725,97.4965,97.3957
336,0.0537,0.074,97.8399,97.4139
337,0.0613,0.074,97.5634,97.4067
338,0.0503,0.0753,97.9526,97.4179
339,0.0573,0.0747,97.5495,97.421
340,0.0393,0.0766,98.0247,97.4076
341,0.0485,0.0771,97.5721,97.413
342,0.0388,0.0771,98.0541,97.4033
343,0.0452,0.0779,97.6091,97.4094
344,0.0454,0.0783,98.0865,97.3919
345,0.0463,0.0779,97.5897,97.4019
346,0.0421,0.0787,98.1348,97.4069
347,0.0503,0.0795,97.6088,97.3872
348,0.0482,0.0796,98.1395,97.4017
349,0.0507,0.0804,97.6509,97.3975
